name,rank,faction,id,ship,points,upgradecount,uselesscount,uselesscost,upgrade00,upgrade01,upgrade02,upgrade03,upgrade04,upgrade05,upgrade06,upgrade07,upgrade08,upgrade09,agility,hull,shields,attack,initiative,useless00,useless01,useless02,useless03
Brendon Osmann-Deyman,256,scumandvillainy,fennrau,fangfighter,68,0,0,0,,,,,,,,,,,3,4,0,3,6,,,,
JERRY HOULT,256,firstorder,starkillerbasepilot,upsilonclassshuttle,83,5,0,0,deuteriumpowercells,freelanceslicer,pettyofficerthanisson,ioncannon,passivesensors,,,,,,1,6,6,4,2,,,,
JERRY HOULT,256,firstorder,muse,tiefofighter,37,2,0,0,fanatical,patternanalyzer,,,,,,,,,3,3,1,2,2,,,,
JERRY HOULT,256,firstorder,lieutenantlehuse,tiesffighter,53,2,0,0,ionmissiles,specialforcesgunner,,,,,,,,,2,3,3,2,5,,,,
JERRY HOULT,256,firstorder,zetasquadronpilot,tiefofighter,26,0,0,0,,,,,,,,,,,3,3,1,2,2,,,,
Shawn Ramberg,256,rebelalliance,roguesquadronescort,ewing,68,2,0,0,plasmatorpedoes,r5d8,,,,,,,,,3,3,3,3,4,,,,
Shawn Ramberg,256,rebelalliance,norrawexley-btla4ywing,btla4ywing,59,4,0,0,swarmtactics,ioncannonturret,iontorpedoes,r3astromech,,,,,,,1,6,2,2,5,,,,
Shawn Ramberg,256,rebelalliance,jakefarrell,rz1awing,43,1,0,0,snapshot,,,,,,,,,,3,2,2,2,4,,,,
Shawn Ramberg,256,rebelalliance,captainrex,tielnfighter,30,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
"Jonathan ""NaKoaLani"" Goeres",256,galacticempire,countdown,tieskstriker,64,3,0,0,intimidation,fifthbrother,connernets,,,,,,,,2,4,0,3,4,,,,
"Jonathan ""NaKoaLani"" Goeres",256,galacticempire,captainoicunn,vt49decimator,113,6,0,0,lonewolf,plasmatorpedoes,seventhsister,tacticalofficer,ionbombs,dauntless,,,,,0,12,4,3,3,,,,
"Jonathan ""NaKoaLani"" Goeres",256,galacticempire,obsidiansquadronpilot,tielnfighter,23,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Hunter Borys,256,rebelalliance,wardensquadronpilot,btls8kwing,62,3,0,0,advprotontorpedoes,concussionmissiles,electroprotonbomb,,,,,,,,1,6,3,2,2,,,,
Hunter Borys,256,rebelalliance,kullbeesperado,t65xwing,46,1,0,0,servomotorsfoils,,,,,,,,,,2,4,2,3,4,,,,
Hunter Borys,256,rebelalliance,wullffwarro,auzituckgunship,56,0,0,0,,,,,,,,,,,1,6,2,3,4,,,,
Hunter Borys,256,rebelalliance,lieutenantblount,z95af4headhunter,36,1,0,0,concussionmissiles,,,,,,,,,,2,2,2,2,4,,,,
Mike Spin,256,rebelalliance,corranhorn,ewing,75,1,0,0,r2astromech,,,,,,,,,,3,3,3,3,5,,,,
Mike Spin,256,rebelalliance,airencracken,z95af4headhunter,36,0,0,0,,,,,,,,,,,2,2,2,2,5,,,,
Mike Spin,256,rebelalliance,lieutenantblount,z95af4headhunter,33,1,0,0,intimidation,,,,,,,,,,2,2,2,2,4,,,,
Mike Spin,256,rebelalliance,benthictwotubes,ut60duwing,53,2,0,0,leiaorgana,pivotwing,,,,,,,,,2,5,3,3,2,,,,
David Welman,256,scumandvillainy,talonbanecobra,kihraxzfighter,60,2,0,0,cloakingdevice,shieldupgrade,,,,,,,,,2,5,2,3,5,,,,
David Welman,256,scumandvillainy,spicerunner,hwk290lightfreighter,40,2,0,0,novicetechnician,staticdischargevanes,,,,,,,,,2,3,2,2,1,,,,
David Welman,256,scumandvillainy,koshkafrost,firesprayclasspatrolcraft,99,5,0,0,snapshot,heavylasercannon,magpulsewarheads,riggedcargochute,marauder,,,,,,2,6,4,3,3,,,,
Jordan Klein,256,rebelalliance,dutchvander,btla4ywing,72,5,0,0,ioncannonturret,protontorpedoes,r5astromech,stealthdevice,proximitymines,,,,,,1,6,2,2,4,,,,
Jordan Klein,256,rebelalliance,redsquadronveteran,t65xwing,66,5,0,0,trickshot,protontorpedoes,r5d8,electronicbaffle,servomotorsfoils,,,,,,2,4,2,3,3,,,,
Jordan Klein,256,rebelalliance,lieutenantblount,z95af4headhunter,30,0,0,0,,,,,,,,,,,2,2,2,2,4,,,,
Jordan Klein,256,rebelalliance,ezrabridger-tielnfighter,tielnfighter,31,0,0,0,,,,,,,,,,,3,3,0,2,3,,,,
Sean Pohl,256,galacticempire,whisper,tiephphantom,69,3,0,0,ruthless,collisiondetector,hullupgrade,,,,,,,,2,4,2,3,5,,,,
Sean Pohl,256,galacticempire,maarekstele,tieadvancedx1,53,3,0,0,marksmanship,firecontrolsystem,clustermissiles,,,,,,,,3,3,2,2,5,,,,
Sean Pohl,256,galacticempire,seynmarana,tielnfighter,33,1,0,0,swarmtactics,,,,,,,,,,3,3,0,2,4,,,,
Sean Pohl,256,galacticempire,idenversio,tielnfighter,44,1,0,0,targetingcomputer,,,,,,,,,,3,3,0,2,4,,,,
Nemes Balázs,256,resistance,colossusstationmechanic,fireball,54,6,0,0,protonrockets,m9g8,feedbackarray,staticdischargevanes,advancedslam,kazsfireball,,,,,2,6,0,2,2,,,,
Nemes Balázs,256,resistance,greersonnel,rz2awing,53,3,0,0,juke,lonewolf,clustermissiles,,,,,,,,3,2,2,2,4,,,,
Nemes Balázs,256,resistance,hansolo-scavengedyt1300,scavengedyt1300,91,4,0,0,snapshot,rosetico,c3po-crew,reysmillenniumfalcon,,,,,,,1,8,3,3,6,,,,
Jonathan Beattie,256,rebelalliance,goldsquadronveteran,btla4ywing,35,1,0,0,hullupgrade,,,,,,,,,,1,7,2,2,3,,,,
Jonathan Beattie,256,rebelalliance,norrawexley-btla4ywing,btla4ywing,46,1,0,0,ioncannonturret,,,,,,,,,,1,6,2,2,5,,,,
Jonathan Beattie,256,rebelalliance,zeborrelios,attackshuttle,35,1,0,0,dorsalturret,,,,,,,,,,2,3,1,3,2,,,,
Jonathan Beattie,256,rebelalliance,hortonsalm,btla4ywing,43,1,0,0,proximitymines,,,,,,,,,,1,6,2,2,4,,,,
Jonathan Beattie,256,rebelalliance,ezrabridger,attackshuttle,40,0,0,0,,,,,,,,,,,2,3,1,3,3,,,,
Jared Mackert,256,resistance,paigetico,mg100starfortress,77,3,0,0,patternanalyzer,veteranturretgunner,electronicbaffle,,,,,,,,1,9,3,3,5,,,,
Jared Mackert,256,resistance,cat,mg100starfortress,64,2,0,0,chewbacca-crew-swz19,bombletgenerator,,,,,,,,,1,9,3,3,1,,,,
Jared Mackert,256,resistance,karekun,t70xwing,57,2,0,0,bb8,integratedsfoils,,,,,,,,,2,4,3,3,4,,,,
Dale Capron,256,rebelalliance,chewbacca,modifiedyt1300lightfreighter,103,5,0,0,protonrockets,hansolo,perceptivecopilot,tacticalscrambler,munitionsfailsafe,,,,,,1,8,5,3,4,,,,
Dale Capron,256,rebelalliance,kullbeesperado,t65xwing,64,4,0,0,deadmansswitch,squadleader,shieldupgrade,servomotorsfoils,,,,,,,2,4,3,3,4,,,,
Dale Capron,256,rebelalliance,sabinewren-tielnfighter,tielnfighter,32,2,0,0,marksmanship,electronicbaffle,,,,,,,,,3,3,0,2,3,,,,
Matt Nute,256,galacticrepublic,padmeamidala,nabooroyaln1starfighter,69,4,0,0,trickshot,firecontrolsystem,r2c4,protontorpedoes,,,,,,,2,3,2,2,4,,,,
Matt Nute,256,galacticrepublic,bravoflightofficer,nabooroyaln1starfighter,40,1,0,0,c110p,,,,,,,,,,2,3,2,2,2,,,,
Matt Nute,256,galacticrepublic,broadside,btlbywing,41,1,0,0,ioncannonturret,,,,,,,,,,1,5,3,2,3,,,,
Matt Nute,256,galacticrepublic,barrissoffee,delta7aethersprite,44,2,0,0,predictiveshot,r4p17,,,,,,,,,3,3,1,2,4,,,,
Alex Pavloff,256,galacticrepublic,swoop,v19torrentstarfighter,39,2,0,0,intimidation,homingmissiles,,,,,,,,,2,5,0,2,3,,,,
Alex Pavloff,256,galacticrepublic,wolffe,arc170starfighter,61,2,0,0,lonewolf,iontorpedoes,,,,,,,,,1,6,3,3,4,,,,
Alex Pavloff,256,galacticrepublic,anakinskywalker-btlbywing,btlbywing,69,3,0,0,predictiveshot,iontorpedoes,r4astromech,,,,,,,,1,5,3,2,6,,,,
Alex Pavloff,256,galacticrepublic,goldsquadrontrooper,v19torrentstarfighter,25,0,0,0,,,,,,,,,,,2,5,0,2,2,,,,
Brian Webb,512,rebelalliance,janors,hwk290lightfreighter,64,2,0,0,protonbombs,moldycrow,,,,,,,,,2,3,2,2,5,,,,
Brian Webb,512,rebelalliance,sabinewren,attackshuttle,41,0,0,0,,,,,,,,,,,2,3,1,3,3,,,,
Brian Webb,512,rebelalliance,corranhorn,ewing,69,1,0,0,r3astromech,,,,,,,,,,3,3,3,3,5,,,,
Brian Webb,512,rebelalliance,zeborrelios-tielnfighter,tielnfighter,24,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Ted Traini,512,resistance,covanell,resistancetransport,52,2,0,0,perceptivecopilot,staticdischargevanes,,,,,,,,,1,5,3,2,4,,,,
Ted Traini,512,resistance,niennunb,t70xwing,69,5,0,0,debrisgambit,integratedsfoils,patternanalyzer,blackone,autoblasters,,,,,,2,4,3,3,5,,,,
Ted Traini,512,resistance,blacksquadronace-t70xwing,t70xwing,53,2,0,0,bb8,integratedsfoils,,,,,,,,,2,4,3,3,4,,,,
Ted Traini,512,resistance,rosetico,resistancetransportpod,26,0,0,0,,,,,,,,,,,2,3,1,2,3,,,,
Daniel Leon,512,galacticempire,majorrhymer,tiesabomber,46,2,0,0,trickshot,clustermissiles,,,,,,,,,2,6,0,2,4,,,,
Daniel Leon,512,galacticempire,turrphennir,tieininterceptor,46,2,1,1,targetingcomputer,munitionsfailsafe,,,,,,,,,3,3,0,3,4,munitionsfailsafe,,,
Daniel Leon,512,galacticempire,vagabond,tieskstriker,41,1,0,0,proximitymines,,,,,,,,,,2,4,0,3,2,,,,
Daniel Leon,512,galacticempire,captainjonus,tiesabomber,66,3,0,0,protontorpedoes,magpulsewarheads,electronicbaffle,,,,,,,,2,6,0,2,4,,,,
Geoff Frost,512,galacticrepublic,ahsokatano,delta7aethersprite,70,4,1,1,predictiveshot,c110p,delta7b,delayedfuses,,,,,,,2,3,3,3,3,delayedfuses,,,
Geoff Frost,512,galacticrepublic,r2d2,btlbywing,64,6,0,0,dorsalturret,plasmatorpedoes,skilledbombardier,c3po-republic,proximitymines,munitionsfailsafe,,,,,1,5,3,2,2,,,,
Geoff Frost,512,galacticrepublic,swoop,v19torrentstarfighter,32,1,0,0,composure,,,,,,,,,,2,5,0,2,3,,,,
Geoff Frost,512,galacticrepublic,axe,v19torrentstarfighter,33,1,1,1,munitionsfailsafe,,,,,,,,,,2,5,0,2,3,munitionsfailsafe,,,
Zach RIghetti,512,scumandvillainy,captainjostero,kihraxzfighter,48,1,0,0,stealthdevice,,,,,,,,,,2,5,1,3,3,,,,
Zach RIghetti,512,scumandvillainy,ahhav,modifiedtielnfighter,33,1,0,0,fearless,,,,,,,,,,3,3,0,2,3,,,,
Zach RIghetti,512,scumandvillainy,contractedscout,jumpmaster5000,50,1,0,0,plasmatorpedoes,,,,,,,,,,2,6,3,2,2,,,,
Zach RIghetti,512,scumandvillainy,landocalrissian-escapecraft,escapecraft,29,0,0,0,,,,,,,,,,,2,2,2,2,4,,,,
Zach RIghetti,512,scumandvillainy,constablezuvio,quadrijettransferspacetug,39,1,0,0,proximitymines,,,,,,,,,,2,5,0,2,4,,,,
Robin Farndon,512,galacticrepublic,tucker,v19torrentstarfighter,36,1,0,0,protonrockets,,,,,,,,,,2,5,0,2,2,,,,
Robin Farndon,512,galacticrepublic,ricolie,nabooroyaln1starfighter,60,3,0,0,firecontrolsystem,r2astromech,plasmatorpedoes,,,,,,,,2,3,2,2,5,,,,
Robin Farndon,512,galacticrepublic,sinker,arc170starfighter,75,2,0,0,protontorpedoes,perceptivecopilot,,,,,,,,,1,6,3,3,3,,,,
Robin Farndon,512,galacticrepublic,goldsquadrontrooper,v19torrentstarfighter,27,1,0,0,electronicbaffle,,,,,,,,,,2,5,0,2,2,,,,
Adam Elleston,512,rebelalliance,leiaorgana,modifiedyt1300lightfreighter,106,4,0,0,concussionmissiles,ezrabridger,chewbacca,millenniumfalcon,,,,,,,1,8,5,3,5,,,,
Adam Elleston,512,rebelalliance,mirandadoni,btls8kwing,61,4,0,0,barragerockets,skilledbombardier,ionbombs,advancedslam,,,,,,,1,6,3,2,4,,,,
Adam Elleston,512,rebelalliance,sabinewren-tielnfighter,tielnfighter,29,0,0,0,,,,,,,,,,,3,3,0,2,3,,,,
RonPon (Ronny Gjendemsjø),512,galacticrepublic,tucker,v19torrentstarfighter,36,2,0,0,homingmissiles,electronicbaffle,,,,,,,,,2,5,0,2,2,,,,
RonPon (Ronny Gjendemsjø),512,galacticrepublic,macewindu,delta7aethersprite,80,4,0,0,sense,r5astromech,delta7b,stealthdevice,,,,,,,2,3,3,3,4,,,,
RonPon (Ronny Gjendemsjø),512,galacticrepublic,r2d2,btlbywing,53,3,0,0,ioncannonturret,agilegunner,protonbombs,,,,,,,,1,5,3,2,2,,,,
RonPon (Ronny Gjendemsjø),512,galacticrepublic,bluesquadronprotector,v19torrentstarfighter,28,1,0,0,crackshot,,,,,,,,,,2,5,0,2,3,,,,
Not MHolland,512,rebelalliance,talasquadronpilot,z95af4headhunter,35,3,0,0,intimidation,concussionmissiles,electronicbaffle,,,,,,,,2,2,2,2,2,,,,
Not MHolland,512,rebelalliance,dashrendar,yt2400lightfreighter,109,2,0,0,trickshot,outrider,,,,,,,,,2,6,4,4,5,,,,
Not MHolland,512,rebelalliance,kashyyykdefender,auzituckgunship,52,1,0,0,perceptivecopilot,,,,,,,,,,1,6,2,3,1,,,,
Christian Krogager Jespersen,512,firstorder,null,tiefofighter,30,0,0,0,,,,,,,,,,,3,3,1,2,0,,,,
Christian Krogager Jespersen,512,firstorder,holo,tiebainterceptor,56,1,0,0,proudtradition,,,,,,,,,,3,2,2,3,5,,,,
Christian Krogager Jespersen,512,firstorder,majorvonreg,tiebainterceptor,57,0,0,0,,,,,,,,,,,3,2,2,3,6,,,,
Christian Krogager Jespersen,512,firstorder,zetasquadronsurvivor,tiesffighter,32,0,0,0,,,,,,,,,,,2,3,3,2,2,,,,
Christian Krogager Jespersen,512,firstorder,epsilonsquadroncadet,tiefofighter,25,0,0,0,,,,,,,,,,,3,3,1,2,1,,,,
Rhett Eldred,512,rebelalliance,cassianandor,ut60duwing,54,2,0,0,selfless,pivotwing,,,,,,,,,2,5,3,3,3,,,,
Rhett Eldred,512,rebelalliance,greensquadronpilot,rz1awing,32,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,
Rhett Eldred,512,rebelalliance,outerrimsmuggler,modifiedyt1300lightfreighter,83,2,0,0,sawgerrera,engineupgrade,,,,,,,,,1,8,5,3,1,,,,
Rhett Eldred,512,rebelalliance,captainrex,tielnfighter,30,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Ben Worth,512,rebelalliance,lieutenantblount,z95af4headhunter,30,0,0,0,,,,,,,,,,,2,2,2,2,4,,,,
Ben Worth,512,rebelalliance,mirandadoni,btls8kwing,54,1,0,0,electroprotonbomb,,,,,,,,,,1,6,3,2,4,,,,
Ben Worth,512,rebelalliance,hortonsalm,btla4ywing,58,3,1,2,protontorpedoes,afterburners,skilledbombardier,,,,,,,,1,6,2,2,4,skilledbombardier,,,
Ben Worth,512,rebelalliance,lowhhrick,auzituckgunship,58,1,0,0,cassianandor,,,,,,,,,,1,6,2,3,3,,,,
EthanRequardt,512,galacticempire,rearadmiralchiraneau,vt49decimator,84,1,0,0,clustermines,,,,,,,,,,0,12,4,3,5,,,,
EthanRequardt,512,galacticempire,rexlerbrath,tieddefender,81,0,0,0,,,,,,,,,,,3,3,4,3,5,,,,
EthanRequardt,512,galacticempire,gammasquadronace,tiesabomber,35,1,0,0,homingmissiles,,,,,,,,,,2,6,0,2,3,,,,
Alex De Rosa,512,firstorder,starkillerbasepilot,upsilonclassshuttle,64,1,0,0,targetingsynchronizer,,,,,,,,,,1,6,6,4,2,,,,
Alex De Rosa,512,firstorder,starkillerbasepilot,upsilonclassshuttle,63,2,1,1,advancedoptics,munitionsfailsafe,,,,,,,,,1,6,6,4,2,munitionsfailsafe,,,
Alex De Rosa,512,firstorder,avenger,tievnsilencer,68,2,0,0,outmaneuver,targetingsynchronizer,,,,,,,,,3,4,2,3,3,,,,
Evan Claassen,512,scumandvillainy,captainjostero,kihraxzfighter,42,0,0,0,,,,,,,,,,,2,5,1,3,3,,,,
Evan Claassen,512,scumandvillainy,zuckuss,g1astarfighter,45,0,0,0,,,,,,,,,,,1,5,4,3,3,,,,
Evan Claassen,512,scumandvillainy,gandfindsman,g1astarfighter,45,1,0,0,riggedcargochute,,,,,,,,,,1,5,4,3,1,,,,
Evan Claassen,512,scumandvillainy,ig88d,aggressorassaultfighter,68,1,0,0,protonbombs,,,,,,,,,,3,5,3,3,4,,,,
Boldrin,512,scumandvillainy,captainseevor,modifiedtielnfighter,30,0,0,0,,,,,,,,,,,3,3,0,2,3,,,,
Boldrin,512,scumandvillainy,jakkugunrunner,quadrijettransferspacetug,40,2,0,0,l337,proximitymines,,,,,,,,,2,5,0,2,1,,,,
Boldrin,512,scumandvillainy,dalanoberos-starviperclassattackplatform,starviperclassattackplatform,64,1,0,0,advancedsensors,,,,,,,,,,3,4,1,3,4,,,,
Boldrin,512,scumandvillainy,lattsrazzi,yv666lightfreighter,63,3,0,0,cikatrovizago,contrabandcybernetics,hullupgrade,,,,,,,,1,10,3,3,3,,,,
JM (aka nutano),512,resistance,finchdallow,mg100starfortress,65,1,0,0,kaydelconnix,,,,,,,,,,1,9,3,3,4,,,,
JM (aka nutano),512,resistance,hansolo-scavengedyt1300,scavengedyt1300,65,0,0,0,,,,,,,,,,,1,8,3,3,6,,,,
JM (aka nutano),512,resistance,bluesquadronrecruit,rz2awing,32,0,0,0,,,,,,,,,,,3,2,2,2,1,,,,
JM (aka nutano),512,resistance,finn,resistancetransportpod,37,1,0,0,perceptivecopilot,,,,,,,,,,2,3,1,2,2,,,,
Ryan Costello,512,firstorder,commandermalarus,tiefofighter,38,0,0,0,,,,,,,,,,,3,3,1,2,5,,,,
Ryan Costello,512,firstorder,avenger,tievnsilencer,56,0,0,0,,,,,,,,,,,3,4,2,3,3,,,,
Ryan Costello,512,firstorder,rush,tievnsilencer,61,1,0,0,advancedoptics,,,,,,,,,,3,4,2,3,2,,,,
Ryan Costello,512,firstorder,firstorderprovocateur,tiebainterceptor,45,0,0,0,,,,,,,,,,,3,2,2,3,3,,,,
John McDermid,512,scumandvillainy,hiredgun,btla4ywing,46,2,0,0,hansolo-gunner,cloakingdevice,,,,,,,,,1,6,2,2,2,,,,
John McDermid,512,scumandvillainy,outerrimpioneer,escapecraft,34,2,0,0,ig88d,angleddeflectors,,,,,,,,,2,2,1,2,3,,,,
John McDermid,512,scumandvillainy,overseeryushyn,modifiedtielnfighter,34,1,0,0,stealthdevice,,,,,,,,,,3,3,0,2,2,,,,
John McDermid,512,scumandvillainy,asajjventress,lancerclasspursuitcraft,75,2,0,0,contrabandcybernetics,shadowcaster,,,,,,,,,2,8,2,3,4,,,,
Scott Canham,512,rebelalliance,ap5,sheathipedeclassshuttle,46,2,0,0,leiaorgana,r2astromech,,,,,,,,,2,4,1,2,1,,,,
Scott Canham,512,rebelalliance,lothalrebel,vcx100lightfreighter,76,3,2,3,advprotontorpedoes,delayedfuses,skilledbombardier,,,,,,,,0,10,4,4,2,delayedfuses,skilledbombardier,,
Scott Canham,512,rebelalliance,wildspacefringer,yt2400lightfreighter,77,0,0,0,,,,,,,,,,,2,6,4,4,1,,,,
JonBabcock,512,firstorder,zetasquadronsurvivor,tiesffighter,32,0,0,0,,,,,,,,,,,2,3,3,2,2,,,,
JonBabcock,512,firstorder,majorstridan,upsilonclassshuttle,96,4,0,0,deuteriumpowercells,hyperspacetrackingdata,supremeleadersnoke,autoblasters,,,,,,,1,6,6,4,4,,,,
JonBabcock,512,firstorder,holo,tiebainterceptor,65,2,0,0,proudtradition,primedthrusters,,,,,,,,,3,2,2,3,5,,,,
Marek Marcinkiewicz,512,scumandvillainy,blacksunsoldier,z95af4headhunter,24,0,0,0,,,,,,,,,,,2,2,2,2,3,,,,
Marek Marcinkiewicz,512,scumandvillainy,zuckuss,g1astarfighter,52,3,0,0,qira,riggedcargochute,misthunter,,,,,,,,1,5,4,3,3,,,,
Marek Marcinkiewicz,512,scumandvillainy,viktorhel,kihraxzfighter,50,2,0,0,debrisgambit,deadmansswitch,,,,,,,,,2,5,1,3,4,,,,
Marek Marcinkiewicz,512,scumandvillainy,captainjostero,kihraxzfighter,42,0,0,0,,,,,,,,,,,2,5,1,3,3,,,,
Marek Marcinkiewicz,512,scumandvillainy,kaatoleeachos,z95af4headhunter,27,0,0,0,,,,,,,,,,,2,2,2,2,3,,,,
Brian Walling,512,rebelalliance,wardensquadronpilot,btls8kwing,60,4,0,0,iontorpedoes,barragerockets,seismiccharges,protonbombs,,,,,,,1,6,3,2,2,,,,
Brian Walling,512,rebelalliance,outerrimsmuggler,modifiedyt1300lightfreighter,75,1,0,0,magvayarro,,,,,,,,,,1,8,5,3,1,,,,
Brian Walling,512,rebelalliance,phoenixsquadronpilot,rz1awing,29,0,0,0,,,,,,,,,,,3,2,2,2,1,,,,
Brian Walling,512,rebelalliance,airencracken,z95af4headhunter,36,0,0,0,,,,,,,,,,,2,2,2,2,5,,,,
MistbornJedi,512,resistance,nodinchavdri,resistancetransport,65,6,1,1,tractorbeam,advprotontorpedoes,korrsella,perceptivecopilot,r5x3,delayedfuses,,,,,1,5,3,2,2,delayedfuses,,,
MistbornJedi,512,resistance,resistancesympathizer,scavengedyt1300,81,5,0,0,amilynholdo,freelanceslicer,inertialdampeners,ablativeplating,reysmillenniumfalcon,,,,,,1,8,3,3,2,,,,
MistbornJedi,512,resistance,lulolampar,rz2awing,53,2,0,0,swarmtactics,ferrospherepaint,,,,,,,,,3,2,2,2,5,,,,
Joe Detchemendy,512,scumandvillainy,graz,kihraxzfighter,48,1,0,0,deadmansswitch,,,,,,,,,,2,5,1,3,4,,,,
Joe Detchemendy,512,scumandvillainy,blacksunassassin,starviperclassattackplatform,56,1,0,0,virago,,,,,,,,,,3,4,2,3,3,,,,
Joe Detchemendy,512,scumandvillainy,outerrimpioneer,escapecraft,30,1,0,0,predator,,,,,,,,,,2,2,2,2,3,,,,
Joe Detchemendy,512,scumandvillainy,sarcoplank,quadrijettransferspacetug,34,1,0,0,electronicbaffle,,,,,,,,,,2,5,0,2,2,,,,
Joe Detchemendy,512,scumandvillainy,genesisred,m3ainterceptor,31,0,0,0,,,,,,,,,,,3,3,1,2,4,,,,
Des Darklighter,512,galacticempire,captainkagi,lambdaclasst4ashuttle,71,3,0,0,agentkallus,darthvader,shieldupgrade,,,,,,,,1,6,5,3,4,,,,
Des Darklighter,512,galacticempire,mornakee,vt49decimator,94,4,1,3,trickshot,seventhsister,seismiccharges,targetingcomputer,,,,,,,0,12,4,3,4,targetingcomputer,,,
Des Darklighter,512,galacticempire,blacksquadronscout,tieskstriker,34,0,0,0,,,,,,,,,,,2,4,0,3,3,,,,
Brack Lee,512,galacticempire,countdown,tieskstriker,53,2,0,0,swarmtactics,proximitymines,,,,,,,,,2,4,0,3,4,,,,
Brack Lee,512,galacticempire,redline,tiecapunisher,70,4,0,0,advprotontorpedoes,ionmissiles,connernets,tacticalscrambler,,,,,,,1,6,3,2,5,,,,
Brack Lee,512,galacticempire,sigmasquadronace,tiephphantom,72,4,1,2,lonewolf,firecontrolsystem,fifthbrother,stealthdevice,,,,,,,2,3,2,3,4,firecontrolsystem,,,
Richard Hines,512,firstorder,backdraft,tiesffighter,39,0,0,0,,,,,,,,,,,2,3,3,2,4,,,,
Richard Hines,512,firstorder,avenger,tievnsilencer,63,1,0,0,protonrockets,,,,,,,,,,3,4,2,3,3,,,,
Richard Hines,512,firstorder,quickdraw,tiesffighter,69,5,0,0,proudtradition,biohexacryptcodes,homingmissiles,specialforcesgunner,stealthdevice,,,,,,2,3,3,2,6,,,,
Richard Hines,512,firstorder,lieutenantrivas,tiefofighter,28,1,0,0,biohexacryptcodes,,,,,,,,,,3,3,1,2,1,,,,
Tyler Duree,512,scumandvillainy,4lom,g1astarfighter,67,6,0,0,passivesensors,ketsuonyo,inertialdampeners,hullupgrade,misthunter,tractorbeam,,,,,1,6,4,3,3,,,,
Tyler Duree,512,scumandvillainy,ndrusuhlak,z95af4headhunter,47,4,0,0,trickshot,homingmissiles,contrabandcybernetics,staticdischargevanes,,,,,,,2,2,2,2,4,,,,
Tyler Duree,512,scumandvillainy,landocalrissian-escapecraft,escapecraft,31,1,0,0,tobiasbeckett,,,,,,,,,,2,2,2,2,4,,,,
Tyler Duree,512,scumandvillainy,captainseevor,modifiedtielnfighter,30,0,0,0,,,,,,,,,,,3,3,0,2,3,,,,
Tyler Duree,512,scumandvillainy,miningguildsurveyor,modifiedtielnfighter,23,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Ed Gold,512,rebelalliance,leebo,yt2400lightfreighter,88,2,0,0,clustermissiles,deadmansswitch,,,,,,,,,2,6,4,4,3,,,,
Ed Gold,512,rebelalliance,jakefarrell,rz1awing,45,2,0,0,juke,daredevil,,,,,,,,,3,2,2,2,4,,,,
Ed Gold,512,rebelalliance,wardensquadronpilot,btls8kwing,63,4,0,0,protontorpedoes,sabinewren,ionbombs,advancedslam,,,,,,,1,6,3,2,2,,,,
Joe Vincent,512,galacticrepublic,naboohandmaiden,nabooroyaln1starfighter,45,1,0,0,passivesensors,,,,,,,,,,2,3,2,2,1,,,,
Joe Vincent,512,galacticrepublic,jag,arc170starfighter,58,3,1,1,clonecommandercody,r2astromech,delayedfuses,,,,,,,,1,6,3,3,3,delayedfuses,,,
Joe Vincent,512,galacticrepublic,anakinskywalker-nabooroyaln1starfighter,nabooroyaln1starfighter,50,1,0,0,plasmatorpedoes,,,,,,,,,,2,3,2,2,4,,,,
Joe Vincent,512,galacticrepublic,padmeamidala,nabooroyaln1starfighter,45,0,0,0,,,,,,,,,,,2,3,2,2,4,,,,
Akhter Khan,512,galacticrepublic,anakinskywalker-btlbywing,btlbywing,71,2,0,0,iontorpedoes,r4p17,,,,,,,,,1,5,3,2,6,,,,
Akhter Khan,512,galacticrepublic,barrissoffee,delta7aethersprite,41,1,0,0,calibratedlasertargeting,,,,,,,,,,3,3,1,2,4,,,,
Akhter Khan,512,galacticrepublic,plokoon,delta7aethersprite,52,1,0,0,stealthdevice,,,,,,,,,,3,3,1,2,5,,,,
Akhter Khan,512,galacticrepublic,oddball,v19torrentstarfighter,34,0,0,0,,,,,,,,,,,2,5,0,2,5,,,,
Bradley Ho,512,rebelalliance,ap5,sheathipedeclassshuttle,36,3,1,3,marksmanship,r3astromech,phantom,,,,,,,,2,4,1,2,1,r3astromech,,,
Bradley Ho,512,rebelalliance,chopper,vcx100lightfreighter,107,7,0,0,advprotontorpedoes,advancedsensors,ioncannonturret,cassianandor,seasonednavigator,agilegunner,ghost,,,,0,10,4,4,2,,,,
Bradley Ho,512,rebelalliance,fennrau-sheathipedeclassshuttle,sheathipedeclassshuttle,57,1,0,0,leiaorgana,,,,,,,,,,2,4,1,2,6,,,,
Andrew steel,512,resistance,bb8,resistancetransportpod,33,1,0,0,primedthrusters,,,,,,,,,,2,3,1,2,3,,,,
Andrew steel,512,resistance,nodinchavdri,resistancetransport,45,1,0,0,plasmatorpedoes,,,,,,,,,,1,5,3,2,2,,,,
